movement_id,artwork_id,artist_id,artwork_title,lender_museum_id,borrower_museum_id,movement_type,start_date,end_date,date_basis,related_exhibition_name,related_exhibition_url,source_type,source_title,source_url,source_date,confidence,notes,last_verified_at
movement_0000089,artwork_0000188,vincent-van-gogh,Self-Portrait with a Straw Hat,the-metropolitan-museum-of-art-new-york-city-us,neue-galerie-new-york-us,loan,2007-03-23,2007-07-02,explicit_dates,Van Gogh and Expressionism,,museum_collection_page,The Metropolitan Museum of Art object page exhibition history,https://www.metmuseum.org/art/collection/search/436532,,HIGH,Borrower institution and dates parsed from the official Met exhibition history tab.,2026-03-08
movement_0000059,artwork_0000255,vincent-van-gogh,The Potato Eaters,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0005V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000060,artwork_0000256,vincent-van-gogh,Garden with Courting Couples: Square Saint-Pierre,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1927-01-01,1930-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0019V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000061,artwork_0000256,vincent-van-gogh,Garden with Courting Couples: Square Saint-Pierre,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-10-22,1952-03-11,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0019V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000062,artwork_0000256,vincent-van-gogh,Garden with Courting Couples: Square Saint-Pierre,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0019V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000063,artwork_0000257,vincent-van-gogh,Sunflowers,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1917-01-01,1919-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0031V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000064,artwork_0000257,vincent-van-gogh,Sunflowers,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0031V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000065,artwork_0000258,vincent-van-gogh,The Yellow House (The Street),van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0032V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000066,artwork_0000259,vincent-van-gogh,The Bedroom,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1917-01-01,1919-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0047V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000067,artwork_0000259,vincent-van-gogh,The Bedroom,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1927-01-01,1930-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0047V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
