exhibition_id,museum_id,museum_name,exhibition_name,cover_image_url,start_date,end_date,official_url,city,state,short_description
exhibition_00001,museum_00001,The Art Institute of Chicago,Raqib Shaw: Paradise Lost,https://artic-web.imgix.net/5dbc42fd-353b-4d6d-b72d-9d14a86d946f/Panel6DTL_6.jpg?rect=0%2C417%2C2781%2C1562&auto=format%2Ccompress&q=80&fit=crop&crop=faces%2Ccenter&w=3000&h=1685,2025-06-07,2026-11-15,https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,Chicago,IL,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.
Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design.
His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own."
exhibition_00002,museum_00001,The Art Institute of Chicago,Japanese Prints from the Collection of Bruce Goff,https://artic-web.imgix.net/2006da04-8837-4705-be1d-ae5640381d19/AS_12519-int-Press300ppi%2C3000px%2CsRGB%2CJPEG1.jpg?rect=137%2C151%2C2675%2C1505&auto=format%2Ccompress&q=80&fit=crop&crop=faces%2Ccenter&w=3000&h=1688,2026-01-07,2026-04-06,https://www.artic.edu/exhibitions/10754/bruce-goff-and-japanese-prints,Chicago,IL,"American modernist architect Bruce Goff had great admiration for Japanese art and architecture. 
When he was just 14, he made a drawing entitled “A Japanese Residence” (1918), and several early watercolors from the 1920s depict Asian scenes. Goff deeply engaged with Japanese art and culture throughout his life, collecting prints alongside his patron Joe Price, and finally visiting the country in 1969."
exhibition_00003,museum_00001,The Art Institute of Chicago,Bruce Goff: Material Worlds,https://artic-web.imgix.net/7bce0d51-ec86-4e45-8c3b-84bb6f23ac6a/Goff_Harderhouse.jpg?rect=0%2C261%2C3000%2C1688&auto=format%2Ccompress&q=80&fit=crop&crop=faces%2Ccenter&w=3000&h=1688,2025-12-20,2026-03-29,https://www.artic.edu/exhibitions/10171/bruce-goff-material-worlds,Chicago,IL,"“I’ve been controversial ever since I started. I can’t help it. I’m neither ashamed nor proud of it. That’s just what happened.”—Bruce Goff, 1979/80
This major retrospective celebrates the unbounded creative practice of American architect Bruce Goff (1904–1982)."
exhibition_00004,museum_00001,The Art Institute of Chicago,New Affiliates on Goff’s Domestic Matter,https://artic-web.imgix.net/8f3654f4-b63e-4780-a1eb-057a7d3a40e4/BruceGoffBavingerCMYK-3000px.jpg?rect=3657%2C14%2C4808%2C2707&auto=format%2Ccompress&q=80&fit=crop&crop=faces%2Ccenter&w=3000&h=1689,2026-01-07,2026-05-18,https://www.artic.edu/exhibitions/10804/new-affiliates-on-goff-s-domestic-matter,Chicago,IL,"Adopting the visual language of graphic novels, New York architecture firm New Affiliates found inspiration in architect Bruce Goff’s offbeat and unexpected materials.
In 2024 architects Ivi Diamantopoulou and Jaffer Kolb of the firm New Affiliates were invited to participate in the Beta Architecture Biennial in Timișoara, Romania. Already steeped in Bruce Goff’s architectural drawings and collections for their exhibition design of the upcoming retrospective Bruce Goff: Material Worlds, they decided to take a deep dive into his unique forms and materialities. This new creative project soon focused on three of Goff’s best-known works: Shin’enKan, a house for Etsuko and Joe Price in Bartlesville, Oklahoma; the Ruth and Sam Ford House in Aurora, Illinois; and the Eugene and Nancy Bavinger House in Norman, Oklahoma."
exhibition_00005,museum_00010,Seattle Art Museum,FriendsWithYou: Little Cloud Sky,https://sam.canto.com/direct/image/lekpsvc6np3o7frbdbranvpp4v/7c7zy61wJFbmFWfjRzcfYEzeybU/m800/1200,2025-06-27,,https://www.seattleartmuseum.org/whats-on/exhibitions/friendswithyou-little-cloud-sky,Seattle,WA,"Little Cloud Sky is a new SAM commission from FriendsWithYou, the internationally celebrated duo of Samuel (Sam) Borkson and Arturo (Tury) Sandoval III. The large-scale installation will be in the museum’s Brotman Forum, its main entrance lobby and a community space that is free to the public to enjoy without a ticket to the museum. The commission was organized by José Carlos Diaz, SAM’s Susan Brotman Deputy Director for Art.
Little Cloud Sky (2025) is composed of 40 of the artists’ signature Little Cloud character, each custom made of plastic, four feet wide, and suspended from the ceiling of the Brotman Forum. The work is designed to spread positivity and inspire a sense of connection, encouraging museum visitors to reflect on the beauty of togetherness and the power of joy and nature. While versions of this interior skyscape have been displayed in cities around the world, including Las Vegas, Miami, Tokyo, and London, this is a brand-new iteration and the artists’ first long-term museum installation.
The Little Cloud character serves as a symbol of peace and connectivity and can be found throughout the artists’ work. In August 2024, London’s Covent Garden featured Little Cloud World, an installation with 40 inflatable Little Cloud characters. In January 2024, Tokyo’s Yoyogi Park hosted Little Cloud Sky, accompanied by a large-scale parade, “The Happy Dancing Rainbow Alliance,” featuring FriendsWithYou’s iconic characters."
exhibition_00006,museum_00031,Seattle Asian Art Museum,Anila Quayyum Agha: Geometry of Light,https://sam.canto.com/direct/image/lhorl0dgt15jl13mlh5k684h0f/T2HxOlGOgG2NpNhI6XtZcGw2R0I/m3000/1200,2025-08-27,2026-04-19,https://www.seattleartmuseum.org/whats-on/exhibitions/anila-quayyum-agha-geometry-of-light,Seattle,WA,"Anila Quayyum Agha: Geometry of Light invites you to become part of the art. Agha, a Pakistani American artist, animates spaces with her large-scale sculptural installations. Suspended from the ceiling, Agha’s steel cubes are laser-cut with intricate designs that project geometric shadows onto the visitor. She draws on both the light and dark of her own life, using South Asian art practices to convey the gender discrimination she faced growing up as a young girl in Pakistan. An in-depth exploration of Islamic architecture, art, and identity, this is the first solo exhibition of a Pakistani American artist in SAM’s 90-year history. Agha is carving a name out for herself in the art world—visit the Seattle Asian Art Museum for an immersive and illuminating experience."
exhibition_00007,museum_00031,Seattle Asian Art Museum,Ai Weiwei: Water Lilies,https://sam.canto.com/direct/image/85kivl5unt35r66bg137u1eg65/0iewP3GK45dZjBMkCz3sTLOUxR0/m3000/800,2025-03-19,2026-03-15,https://www.seattleartmuseum.org/whats-on/exhibitions/ai-weiwei-water-lilies,Seattle,WA,"Nearly 50 feet in length and made from 650,000 LEGO blocks, Ai Weiwei’s Water Lilies (2022) is the artist’s largest and most ambitious LEGO work to date. This reinterpretation of Claude Monet’s iconic triptych from the Museum of Modern Art in New York offers an equally immersive experience, merging the lush beauty of Monet’s water lilies with Ai’s personal history.
Visitors can experience this work—displayed in one long panel on a single wall—up close in an intimate gallery at the Seattle Asian Art Museum. This is the first time this work has been shown in the US; it debuted in 2023 at the Berlin art gallery neugerriemschneider.
The piece has a connection with the Seattle Art Museum’s history. An actual Monet Water Lilies work was loaned to the museum in 1956 by Walter P. Chrysler Jr., who purchased it from the Monet estate and toured it around the United States. The painting was displayed in the Fuller Garden Court of the Seattle Asian Art Museum, the original home of the Seattle Art Museum."
exhibition_00008,museum_00006,The Metropolitan Museum of Art,Celebrating the Year of the Snake,https://cdn.sanity.io/images/cctd4ker/production/734325c40b9ba4e741e6d0ee6db56dbbc3fdec2d-5121x1707.jpg?w=3840&q=75&auto=format,,2026-02-01,https://www.metmuseum.org/exhibitions/celebrating-the-year-of-the-snake,New York,NY,"The traditional East Asian lunar calendar consists of a repeating twelve-year cycle, with each year corresponding to one of the twelve animals in the Chinese zodiac. The association of these creatures with the Chinese calendar began in the third century BCE and became firmly established by the first century CE. The twelve animals are, in sequence: rat, ox, tiger, rabbit, dragon, snake, horse, ram, monkey, rooster, dog, and pig. Each is believed to embody certain traits that are manifested in the personalities of people born in that year. January 29, 2025, marks the beginning of the Year of the Snake, a creature characterized as alert, calm, and smart.
Celebrating the Year of the Snake presents a remarkable selection of works drawn from the Museum’s collection illustrating the significant role that the snake plays in Chinese culture, including a 3,000-year-old bronze ritual vessel with a spout formed by joined snakes’ heads, a 13th-century pottery figure of a mischievously smiling snake, and an 18th-century exquisitely painted porcelain cup portraying a scene from the “Legend of the White Snake,” a popular folktale of love and romance between humans and fantastic creatures.
The exhibition is made possible by the Joseph Hotung Fund."
exhibition_00009,museum_00006,The Metropolitan Museum of Art,Chinese Painting and Calligraphy: Selections from the Collection,https://cdn.sanity.io/images/cctd4ker/production/0cb7dab4c658bfba5cb53d9f5e29f80a43b0dd73-5121x1707.jpg?w=3840&q=75&auto=format,,2026-05-01,https://www.metmuseum.org/exhibitions/chinese-painting-and-calligraphy-selections-from-the-collection,New York,NY,"The Met acquired its first Chinese painting in 1902. Since then, the Museum has added more than two thousand works of painting and calligraphy, building one of the most comprehensive collections in the world. Spanning fifteen hundred years of cultural production and featuring a variety of genres, techniques, and styles, The Met's collection has become a key resource for the study of Chinese painting and calligraphy. This exhibition presents a rich selection of works from the collection arranged in a largely chronological display."
exhibition_00010,museum_00006,The Metropolitan Museum of Art,Impressions of the Imagination: New Medieval Beasts in Print,https://cdn.sanity.io/images/cctd4ker/production/12f6b082f4700eea1fa7c90b62057cba571c283b-5121x1707.png?w=3840&q=75&auto=format,2026-02-05,2026-03-03,https://www.metmuseum.org/exhibitions/impressions-of-the-imagination-new-medieval-beasts-in-print,New York,NY,"Snarling, prancing, prowling, and peeking out from stone and thread, animals both real and fantastical fill medieval art with energy and imagination. As part of The Met Cloisters’ commitment to serving neighbors in upper Manhattan, fifth-grade students from P.S. 48 P.O. Michael J. Buczek were invited to immerse themselves in this lively world of hybrid creatures and respond with beasts of their own invention."
