museum_id,name,city,state,country,lat,lng,address,website_url,source_url,last_verified_at,data_confidence,opening_hours,opening_hours_structured,is_collection_oriented,collection_signal_score,collection_mode,collection_evidence_url,collection_evidence_text,online_collection_url,has_online_collection,collection_size_estimate,hero_image_url,tags,hightlight,highlight_score,highlight_version,highlight_reason,instagram_url,x_url,tiktok_url,xiaohongshu_url,youtube_url,facebook_url,weibo_url,douyin_url
art-gallery-of-new-south-wales-sydney-australia,Art Gallery of New South Wales,Sydney,New South Wales,Australia,-33.8688,151.2174,"Art Gallery Rd, Sydney NSW 2000, Australia",https://www.artgallery.nsw.gov.au/,https://www.artgallery.nsw.gov.au/,2026-02-19,HIGH,Mon-Tue 10-5; Wed 10-10; Thu-Sun 10-5,"{""type"":""text"",""raw"":""Mon-Tue 10-5; Wed 10-10; Thu-Sun 10-5""}",TRUE,76,core,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; highlight_true; social_count_4_plus,,UNKNOWN,,https://dpconline.b-cdn.net/images/DPC/News/AGNSW_Logo_Blue_Live_RGB_1600px.jpg,art,TRUE,75,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/artgalleryofnsw,,,https://xiaohongshu.com/user/profile,https://youtube.com/c/ArtGalleryofNSW,https://facebook.com/ArtGalleryofNSW,,
australian-museum-sydney-australia,Australian Museum,Sydney,New South Wales,Australia,-33.8743,151.2132,"Level 4/1 William St, Darlinghurst NSW 2010, Australia",https://australian.museum/,https://australian.museum/,2026-02-19,HIGH,Mon-Sun 10-5,"{""type"":""text"",""raw"":""Mon-Sun 10-5""}",TRUE,76,core,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; highlight_true; social_count_4_plus,,UNKNOWN,,https://unavatar.io/australian.museum,science|history,TRUE,89,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/australianmuseum,https://x.com/austmus,,,https://youtube.com/user/austmus,https://facebook.com/australianmuseum,,
vancouver-art-gallery-vancouver-canada,Vancouver Art Gallery,Vancouver,British Columbia,Canada,49.283,-123.1205,"750 Hornby St, Vancouver, BC V6Z 2H7, Canada",https://www.vanartgallery.bc.ca/,https://www.vanartgallery.bc.ca/,2026-02-19,HIGH,Mon 10-5; Wed-Thu 10-5; Fri 10-8; Sat-Sun 10-5,"{""type"":""text"",""raw"":""Mon 10-5; Wed-Thu 10-5; Fri 10-8; Sat-Sun 10-5""}",TRUE,67,hybrid,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; website_present,,UNKNOWN,,https://unavatar.io/vanartgallery.bc.ca,art,FALSE,40,v1.1-th70,below_threshold,,,,,,,,
the-palace-museum-beijing-china,The Palace Museum,Beijing,,China,39.9163,116.3972,"4 Jingshan Front St, Dongcheng, Beijing, China, 100009",https://www.dpm.org.cn/Home.html,https://www.dpm.org.cn/Home.html,2026-02-19,HIGH,Tue-Sun 8:30-4,"{""type"":""text"",""raw"":""Tue-Sun 8:30-4""}",TRUE,72,hybrid,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; highlight_true; website_present,,UNKNOWN,,https://www.chnmuseum.cn/portals/0/web/zt/gmdc2022/images/detail/2/gglogo.png,art,TRUE,74,v1.1-th70,selected_by_threshold_and_country_quota,,,,,,,,
louisiana-museum-of-modern-art-humlebk-denmark,Louisiana Museum of Modern Art,Humlebk,,Denmark,55.9695,12.5428,"Gl Strandvej 13, 3050 Humlebæk, Denmark",https://louisiana.dk/,https://louisiana.dk/,2026-02-19,HIGH,Tue-Fri 11-10; Sat-Sun 11-6,"{""type"":""text"",""raw"":""Tue-Fri 11-10; Sat-Sun 11-6""}",TRUE,74,hybrid,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; highlight_true; social_count_2_plus,,UNKNOWN,,https://unavatar.io/louisiana.dk,art,TRUE,80,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/louisianamuseum,,,,https://youtube.com/user/LouisianaMuseum,https://facebook.com/louisianamuseum,,
the-grand-egyptian-museum-cairo-egypt,The Grand Egyptian Museum,Cairo,,Egypt,29.9936,31.1197,"Cairo - Alexandria Desert Rd, Kafr Nassar, Al Haram, Giza Governorate 3513204, Egypt",https://gem.eg/,https://gem.eg/,2026-02-19,HIGH,Mon-Sun 9-6,"{""type"":""text"",""raw"":""Mon-Sun 9-6""}",TRUE,76,core,,baseline_museum_assumed_collecting; legacy_collection_true; positive_name_keyword; art_or_history_tag; highlight_true; social_count_4_plus,,UNKNOWN,,https://www.atelier-brueckner.com/_next/image?url=https%3A%2F%2Fdrupal.atelier-brueckner.com%2F%2Fsites%2Fdefault%2Ffiles%2F2023-11%2Fpress%2F01_atb_gem_1920_main_logo.jpg&w=3840&q=75,art,TRUE,75,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/grandegyptianmuseum,https://x.com/GrandEGMuseum,,,https://youtube.com/@GrandEgyptianMuseum,https://facebook.com/GrandEgyptianMuseum,,
louvre-museum-paris-france,Louvre Museum,Paris,,France,48.8606,2.3376,"75001 Paris, France",https://www.louvre.fr/,https://www.louvre.fr/,2026-02-19,HIGH,Mon 9-6; Wed 9-9; Thu 9-6; Fri 9-9; Sat-Sun 9-6,"{""type"":""text"",""raw"":""Mon 9-6; Wed 9-9; Thu 9-6; Fri 9-9; Sat-Sun 9-6""}",TRUE,100,core,https://collections.louvre.fr/en/,baseline_museum_assumed_collecting; legacy_collection_true; has_online_collection_true; online_collection_url_present; collection_url_hint; positive_name_keyword,https://collections.louvre.fr/en/,TRUE,,https://thumbs.dreamstime.com/b/louvre-icon-vector-isolated-white-background-louvre-transparent-sign-thin-line-design-elements-outline-style-louvre-icon-134168907.jpg,art,TRUE,82,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/museelouvre,https://x.com/museelouvre,,,https://youtube.com/user/louvre,https://facebook.com/museedulouvre,,
musee-dorsay-paris-france,Musée d'Orsay,Paris,,France,48.86,2.3266,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",https://www.musee-orsay.fr/fr,https://www.musee-orsay.fr/fr,2026-02-19,HIGH,Tue-Wed 9:30-6; Thu 9:30-9:45; Fri-Sun 9:30-6,"{""type"":""text"",""raw"":""Tue-Wed 9:30-6; Thu 9:30-9:45; Fri-Sun 9:30-6""}",TRUE,100,core,https://www.musee-orsay.fr/en/collections,baseline_museum_assumed_collecting; legacy_collection_true; has_online_collection_true; online_collection_url_present; collection_url_hint; art_or_history_tag,https://www.musee-orsay.fr/en/collections,TRUE,,https://unavatar.io/musee-orsay.fr,art,TRUE,80,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/museeorsay,,https://tiktok.com/@museeorsay,,https://youtube.com/channel/UCXTRjVOyW2p9pWGuJS1GCLg,https://facebook.com/museedorsay,,
musee-de-lorangerie-paris-france,Musée de l'Orangerie,Paris,,France,48.8638,2.3227,"Jardin des Tuileries, 75001 Paris, France",https://www.musee-orangerie.fr/fr,https://www.musee-orangerie.fr/fr,2026-02-19,HIGH,Mon 9-6; Wed-Sun 9-6,"{""type"":""text"",""raw"":""Mon 9-6; Wed-Sun 9-6""}",TRUE,70,hybrid,,baseline_museum_assumed_collecting; legacy_collection_true; art_or_history_tag; highlight_true; social_count_4_plus; website_present,,UNKNOWN,,https://upload.wikimedia.org/wikipedia/fr/0/04/Mus%C3%A9edel%27orangerielogo.jpg,art,TRUE,73,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/museeorangerie,,https://tiktok.com/@museeorangerie,,https://youtube.com/user/museeorangerie,https://facebook.com/museedelorangerie,,
the-centre-pompidou-paris-france,The Centre Pompidou,Paris,,France,48.8606,2.3522,"Place Georges-Pompidou, 75004 Paris, France",https://www.centrepompidou.fr/fr/,https://www.centrepompidou.fr/fr/,2026-02-19,HIGH,Temporarily closed,"{""type"":""text"",""raw"":""Temporarily closed""}",TRUE,70,hybrid,,baseline_museum_assumed_collecting; legacy_collection_true; art_or_history_tag; highlight_true; social_count_4_plus; website_present,,UNKNOWN,,https://unavatar.io/centrepompidou.fr,art,TRUE,80,v1.1-th70,selected_by_threshold_and_country_quota,https://instagram.com/centrepompidou,,https://tiktok.com/@centrepompidou,,https://youtube.com/user/centrepompidou,https://facebook.com/centrepompidou.fr,,
